,x,replacement
1,#chr,chr
2,start,start
3,end,end
4,ControlA1r2_S9_L002.normalized,Ctrl_A1_r2
5,ControlA1r3_S4_L001.normalized,Ctrl_A1_r3
6,ControlA2r2_S10_L002.normalized,Ctrl_A2_r2
7,ControlA2r3_S5_L001.normalized,Ctrl_A2_r3
8,ControlCr2_S25_L004.normalized,Ctrl_C_r2
9,ControlCr3_S14_L002.normalized,Ctrl_C_r3
10,ControlPr2_S17_L003.normalized,Ctrl_P_r2
11,ControlPr3_S19_L003.normalized,Ctrl_P_r3
12,ControlR1r2_S1_L001.normalized,Ctrl_R1_r2
13,ControlR1r3_S21_L003.normalized,Ctrl_R1_r3
14,ControlR2r2_S2_L001.normalized,Ctrl_R2_r2
15,ControlR2r3_S22_L003.normalized,Ctrl_R2_r3
16,G3BPA1r2_S3_L001.normalized,G3BP_A1_r2
17,G3BPA1r3_S24_L003.normalized,G3BP_A1_r3
18,G3BPA2r2_S12_L002.normalized,G3BP_A2_r2
19,G3BPA2r3_S8_L001.normalized,G3BP_A2_r3
20,G3BPCr2_S18_L003.normalized,G3BP_C_r2
21,G3BPCr3_S16_L002.normalized,G3BP_C_r3
22,G3BPPr2_S13_L002.normalized,G3BP_P_r2
23,G3BPPr3_S24_L003.normalized,G3BP_P_r3
24,G3BPR1r2_S19_L003.normalized,G3BP_R1_r2
25,G3BPR1r3_S15_L002.normalized,G3BP_R1_r3
26,G3BPR2r2_S20_L003.normalized,G3BP_R2_r2
27,G3BPR2r3_S16_L002.normalized,G3BP_R2_r3
28,GAL1A1r2_S18_L003.normalized,GAL1_A1_r2
29,GAL1A1r3_S23_L003.normalized,GAL1_A1_r3
30,GAL1A2r2_S27_L004.normalized,GAL1_A2_r2
31,GAL1A2r3_S15_L002.normalized,GAL1_A2_r3
32,GAL1Cr2_S11_L002.normalized,GAL1_C_r2
33,GAL1Cr3_S23_L003.normalized,GAL1_C_r3
34,GAL1Pr2_S17_L003.normalized,GAL1_P_r2
35,GAL1Pr3_S22_L003.normalized,GAL1_P_r3
36,GAL1R1r2_S7_L001.normalized,GAL1_R1_r2
37,GAL1R1r3_S13_L002.normalized,GAL1_R1_r3
38,GAL1R2r2_S8_L001.normalized,GAL1_R2_r2
39,GAL1R2r3_S14_L002.normalized,GAL1_R2_r3
40,GSF4239-Control_A1_S1.normalized,Ctrl_A1_r1
41,GSF4239-Control_A2_S2.normalized,Ctrl_A2_r1
42,GSF4239-Control_C_S6.normalized,Ctrl_C_r1
43,GSF4239-Control_P_S5.normalized,Ctrl_P_r1
44,GSF4239-Control_R1_S3.normalized,Ctrl_R1_r1
45,GSF4239-Control_R2_S4.normalized,Ctrl_R2_r1
46,GSF4239-G3BP_A1_S22.normalized,G3BP_A1_r1
47,GSF4239-G3BP_A2_S23.normalized,G3BP_A2_r1
48,GSF4239-G3BP_C_S27.normalized,G3BP_C_r1
49,GSF4239-G3BP_P_S26.normalized,G3BP_P_r1
50,GSF4239-G3BP_R1_S24.normalized,G3BP_R1_r1
51,GSF4239-G3BP_R2_S25.normalized,G3BP_R2_r1
52,GSF4239-GAL1_A1_S15.normalized,GAL1_A1_r1
53,GSF4239-GAL1_A2_S16.normalized,GAL1_A2_r1
54,GSF4239-GAL1_C_S20.normalized,GAL1_C_r1
55,GSF4239-GAL1_P_S19.normalized,GAL1_P_r1
56,GSF4239-GAL1_R1_S17.normalized,GAL1_R1_r1
57,GSF4239-GAL1_R2_S18.normalized,GAL1_R2_r1
58,GSF4239-POSTN_A1_S8.normalized,POSTN_A1_r1
59,GSF4239-POSTN_A2_S9.normalized,POSTN_A2_r1
60,GSF4239-POSTN_C_S13.normalized,POSTN_C_r1
61,GSF4239-POSTN_P_S12.normalized,POSTN_P_r1
62,GSF4239-POSTN_R1_S10.normalized,POSTN_R1_r1
63,GSF4239-POSTN_R2_S11.normalized,POSTN_R2_r1
64,POSTNA1r2_S3_L001.normalized,POSTN_A1_r2
65,POSTNA1r3_S29_L004.normalized,POSTN_A1_r3
66,POSTNA2r2_S4_L001.normalized,POSTN_A2_r2
67,POSTNA2r3_S7_L001.normalized,POSTN_A2_r3
68,POSTNCr2_S10_L002.normalized,POSTN_C_r2
69,POSTNCr3_S21_L003.normalized,POSTN_C_r3
70,POSTNPr2_S9_L002.normalized,POSTN_P_r2
71,POSTNPr3_S20_L003.normalized,POSTN_P_r3
72,POSTNR1r2_S5_L001.normalized,POSTN_R1_r2
73,POSTNR1r3_S11_L002.normalized,POSTN_R1_r3
74,POSTNR2r2_S6_L001.normalized,POSTN_R2_r2
75,POSTNR2r3_S12_L002.normalized,POSTN_R2_r3
